1,2,3,4,5,6,7,8,9,10,11,12
0.1986731334,0.1742476717,0.1867580989,0.137741635,0.1765412776,0.1675366404,0.1752827207,0.1707493911,0.1710871167,0.1669513894,0.1599395043,0.0838651596
0.1878201221,0.1687848061,0.1656156153,0.1538263106,0.1584756787,0.1502981639,0.1372032719,0.1315089101,0.1494346117,0.1438375473,0.1419043214,0.0408425436
0.1717952811,0.1606927208,0.1501872782,0.1364977736,0.1449593076,0.1405697578,0.1383552972,0.1383301725,0.1385548689,0.1433805325,0.1379645503,0.0807326299
0.1595381672,0.1483277117,0.1301500241,0.1421495114,0.1386901863,0.134092395,0.1287426085,0.123088193,0.1282022848,0.1373912544,0.124788834,0.0431641597
0.1597764406,0.1424948007,0.1225491537,0.1320970685,0.121514307,0.1286739472,0.1247279564,0.1329625553,0.1247494416,0.1321298483,0.1248339605,0.0377816727
0.1560104491,0.1394385202,0.1347221703,0.1279684493,0.1332195438,0.1261583254,0.1264170693,0.1310915681,0.1319295661,0.1287469453,0.1271286909,0.0702954411
0.1558603943,0.1429688085,0.1368444881,0.1340894679,0.1373978905,0.1303226449,0.131349633,0.1188771578,0.1323214774,0.1326845657,0.1343471243,0.0366260107
0.1541787142,0.1569396342,0.1450478529,0.1558026947,0.0439614109,0.1551454605,0.1553536692,0.1485538593,0.1496499596,0.1573555605,0.1410662065,0.065932152
